Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,STIG Severity,CVSS v3.0 Base Score,CVSS v2.0 Temporal Score,CVSS v3.0 Temporal Score,Risk Factor,BID,XREF,MSKB,Plugin Publication Date,Plugin Modification Date,Metasploit,Core Impact,CANVAS
"10114","CVE-1999-0524","0.0","None","10.0.0.1","icmp","0","ICMP Timestamp Request Remote Date Disclosure","It is possible to determine the exact time set on the remote host.","The remote host answers to an ICMP timestamp request.  This allows an
attacker to know the date that is set on the targeted machine, which
may assist an unauthenticated, remote attacker in defeating time-based
authentication protocols.

Timestamps returned from machines running Windows Vista / 7 / 2008 /
2008 R2 are deliberately incorrect, but usually within 1000 seconds of
the actual system time.","Filter out the ICMP timestamp requests (13), and the outgoing ICMP
timestamp replies (14).","","This host returns non-standard timestamps (high bit is set)
The ICMP timestamps might be in little endian format (not in network format)
The difference between the local and remote clocks is 16906 seconds.
","","0.0","","","None","","CWE:200","","1999/08/01","2019/10/04","","",""
"10287","","","None","10.0.0.1","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","","For your information, here is the traceroute from 10.0.0.3 to 10.0.0.1 : 
10.0.0.3
10.0.0.1

Hop Count: 1
","","","","","None","","","","1999/11/27","2020/08/20","","",""
"10386","","","None","10.0.0.1","tcp","80","Web Server No 404 Error Code Check","The remote web server does not return 404 error codes.","The remote web server is configured such that it does not return '404
Not Found' error codes when a nonexistent file is requested, perhaps
returning instead a site map, search page or authentication page.

Nessus has enabled some counter measures for this.  However, they
might be insufficient.  If a great number of security holes are
produced for this port, they might not all be accurate.","n/a","","
The remote web server is very slow - it took 152
seconds to execute the plugin no404.nasl (it usually only takes a few
seconds).

In order to keep the scan total time to a reasonable amount, the
remote web server has not been tested.

If you want to test the remote server, either fix it to have it reply
to Nessus' requests in a reasonable amount of time, or enable the
'Perform thorough tests' setting.","","","","","None","","","","2000/04/28","2022/06/17","","",""
"10386","","","None","10.0.0.1","tcp","443","Web Server No 404 Error Code Check","The remote web server does not return 404 error codes.","The remote web server is configured such that it does not return '404
Not Found' error codes when a nonexistent file is requested, perhaps
returning instead a site map, search page or authentication page.

Nessus has enabled some counter measures for this.  However, they
might be insufficient.  If a great number of security holes are
produced for this port, they might not all be accurate.","n/a","","
The remote web server is very slow - it took 153
seconds to execute the plugin no404.nasl (it usually only takes a few
seconds).

In order to keep the scan total time to a reasonable amount, the
remote web server has not been tested.

If you want to test the remote server, either fix it to have it reply
to Nessus' requests in a reasonable amount of time, or enable the
'Perform thorough tests' setting.","","","","","None","","","","2000/04/28","2022/06/17","","",""
"10663","","3.3","Low","10.0.0.1","udp","67","DHCP Server Detection","The remote DHCP server may expose information about the associated
network.","This script contacts the remote DHCP server (if any) and attempts to
retrieve information about the network layout. 

Some DHCP servers provide sensitive information such as the NIS domain
name, or network layout information such as the list of the network
web servers, and so on. 

It does not demonstrate any vulnerability, but a local attacker may
use DHCP to become intimately familiar with the associated network.","Apply filtering to keep this information off the network and remove
any options that are not in use.","","
Nessus gathered the following information from the remote DHCP server :

  Master DHCP server of this network : 0.0.0.0
  IP address the DHCP server would attribute us : 10.0.0.3
  DHCP server(s) identifier : 10.0.0.1
  Netmask : 255.255.255.0
  Router : 10.0.0.1
  Domain name server(s) : 10.0.0.1

","","","","","Low","","","","2001/05/05","2019/03/06","","",""
"10863","","","None","10.0.0.1","tcp","443","SSL Certificate Information","This plugin displays the SSL certificate.","This plugin connects to every SSL-related port and attempts to 
extract and dump the X.509 certificate.","n/a","","Subject Name: 

Country: US
State/Province: California
Locality: San Jose
Organization: Netgear
Common Name: www.routerlogin.net
Email Address: support@netgear.com

Issuer Name: 

Country: US
State/Province: California
Locality: San Jose
Organization: Netgear
Common Name: www.routerlogin.net
Email Address: support@netgear.com

Serial Number: 71 5D 95 13 FC 1F F0 12 DE 7A F5 3C 50 87 56 20 3D EB 25 25 

Version: 3

Signature Algorithm: SHA-256 With RSA Encryption

Not Valid Before: Sep 23 14:21:52 2021 GMT
Not Valid After: Sep 21 14:21:52 2031 GMT

Public Key Info: 

Algorithm: RSA Encryption
Key Length: 2048 bits
Public Key: 00 DC F2 69 FC 64 C8 B8 37 B7 A3 84 75 12 53 82 19 B1 0B 3C 
            1F 12 A8 6D AC 11 F5 05 A2 BF 38 77 7B BB 0F 28 5C 5F B1 DC 
            F5 CF DC 2C 16 20 43 32 8E 89 F8 94 8A BF 98 8A 07 47 B1 49 
            FD 77 CB 16 6D 25 D2 7A 27 5F 93 90 62 48 65 BB 6F CB 62 76 
            5A 28 6E 36 BB B7 48 FB 20 C0 3B 5C C3 26 3F 28 FC 4E 26 E6 
            AB AC 81 1B B0 7A D8 9E 47 2F F3 7F 01 36 2B 2B 9C FA A9 AD 
            AE 1B 19 31 41 92 5A 9B 56 F1 44 4C 97 C4 D1 55 3C 0F F4 79 
            D8 6E E2 D2 FC F8 49 5A 75 49 35 E1 2E 40 93 C0 64 2E 87 3F 
            46 08 A5 62 58 10 F8 95 95 82 82 95 54 F6 B7 78 05 85 3D 6C 
            93 A8 83 6D C3 8D B4 30 79 19 20 40 44 65 8F 49 98 E3 4E A9 
            82 F5 25 C1 E2 95 83 58 34 68 71 FC FD B5 28 43 59 DF A2 A8 
            20 A0 12 69 04 CD 1E F1 E7 ED CC 92 F2 24 1F 7F 7D 07 2D CD 
            E7 12 A6 61 32 1F EB 38 08 43 31 CC 1F DF 4A B6 5F 
Exponent: 01 00 01 

Signature Length: 256 bytes / 2048 bits
Signature: 00 15 66 7E FB B8 46 8F 3F 97 EF 21 CF 69 83 C9 E0 80 B1 B8 
           DE 69 FA D7 5D C2 9A D9 86 87 DD 75 06 0A 91 F1 38 D3 CB FD 
           A4 BD 65 F6 0C B6 C6 CF 27 3E 14 8D 01 56 8B 0B 53 0E BA 6A 
           A8 BD 21 15 BB C1 F2 F4 17 0F 46 60 41 5A 92 49 FE BC C2 41 
           E4 48 1F C6 8D CE 8E 96 3F 43 8E CB 6B 36 41 44 39 20 01 47 
           7D 51 ED 9C 47 BC 4D D1 FC A5 42 7E 51 AF 2C 8B DF 06 B1 DB 
           59 AF 1D 1F 17 2F F0 FB D3 C1 73 9D 61 FF 0F 02 31 BA FA C2 
           AD F0 01 39 D1 56 32 89 CE A3 EB AA B8 30 27 E4 D2 19 B3 01 
           1B B2 92 D9 D7 0F BE E1 F8 A9 11 98 B5 44 5B C2 B8 D3 A7 41 
           A2 DD 91 C1 65 3E 6C EA FF 85 57 C7 45 D1 47 70 61 B4 9F FA 
           3B 39 0B F3 93 A9 58 DE F1 73 D2 32 B8 C2 02 1C A2 9E 7F 93 
           AF EB 87 C8 50 C3 E9 32 24 C8 F5 F8 79 1D 0C E2 76 2D D1 2F 
           50 A4 6A 01 6C 58 43 22 52 74 96 19 89 0E 54 97 02 

Extension: Key Usage (2.5.29.15)
Critical: 0
Key Usage: Digital Signature, Key Encipherment, Data Encipherment


Extension: Extended Key Usage (2.5.29.37)
Critical: 0
Purpose#1: Web Server Authentication (1.3.6.1.5.5.7.3.1)
Purpose#2: Web Client Authentication (1.3.6.1.5.5.7.3.2)


Extension: Subject Alternative Name (2.5.29.17)
Critical: 0
DNS: www.routerlogin.net
DNS: routerlogin.net
DNS: www.orbilogin.com
DNS: orbilogin.net
DNS: routerlogin.com
DNS: orbilogin.com
DNS: www.routerlogin.com
DNS: www.orbilogin.net


Fingerprints : 

SHA-256 Fingerprint: F8 33 C0 45 C4 F3 01 94 A2 1A E9 C4 99 47 29 F1 A9 9D 0E 72 
                     A5 E7 35 9D 4D 49 A9 F2 46 A7 1E 39 
SHA-1 Fingerprint: FA 99 10 7E 72 6D 3E 5F 66 52 27 6A DE FE 12 C3 00 7B A5 36 
MD5 Fingerprint: C7 72 A3 DD 03 19 CB 80 2B 6B 69 B5 6D 03 D6 8C 


PEM certificate : 

-----BEGIN CERTIFICATE-----
MIIEcDCCA1igAwIBAgIUcV2VE/wf8BLeevU8UIdWID3rJSUwDQYJKoZIhvcNAQELBQAwgYkxCzAJBgNVBAYTAlVTMRMwEQYDVQQIDApDYWxpZm9ybmlhMREwDwYDVQQHDAhTYW4gSm9zZTEQMA4GA1UECgwHTmV0Z2VhcjEcMBoGA1UEAwwTd3d3LnJvdXRlcmxvZ2luLm5ldDEiMCAGCSqGSIb3DQEJARYTc3VwcG9ydEBuZXRnZWFyLmNvbTAeFw0yMTA5MjMxNDIxNTJaFw0zMTA5MjExNDIxNTJaMIGJMQswCQYDVQQGEwJVUzETMBEGA1UECAwKQ2FsaWZvcm5pYTERMA8GA1UEBwwIU2FuIEpvc2UxEDAOBgNVBAoMB05ldGdlYXIxHDAaBgNVBAMME3d3dy5yb3V0ZXJsb2dpbi5uZXQxIjAgBgkqhkiG9w0BCQEWE3N1cHBvcnRAbmV0Z2Vhci5jb20wggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQDc8mn8ZMi4N7ejhHUSU4IZsQs8HxKobawR9QWivzh3e7sPKFxfsdz1z9wsFiBDMo6J+JSKv5iKB0exSf13yxZtJdJ6J1+TkGJIZbtvy2J2WihuNru3SPsgwDtcwyY/KPxOJuarrIEbsHrYnkcv838BNisrnPqpra4bGTFBklqbVvFETJfE0VU8D/R52G7i0vz4SVp1STXhLkCTwGQuhz9GCKViWBD4lZWCgpVU9rd4BYU9bJOog23DjbQweRkgQERlj0mY406pgvUlweKVg1g0aHH8/bUoQ1nfoqggoBJpBM0e8eftzJLyJB9/fQctzecSpmEyH+s4CEMxzB/fSrZfAgMBAAGjgc0wgcowCwYDVR0PBAQDAgSwMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjCBmwYDVR0RBIGTMIGQghN3d3cucm91dGVybG9naW4ubmV0gg9yb3V0ZXJsb2dpbi5uZXSCEXd3dy5vcmJpbG9naW4uY29tgg1vcmJpbG9naW4ubmV0gg9yb3V0ZXJsb2dpbi5jb22CDW9yYmlsb2dpbi5jb22CE3d3dy5yb3V0ZXJsb2dpbi5jb22CEXd3dy5vcmJpbG9naW4ubmV0MA0GCSqGSIb3DQEBCwUAA4IBAQAVZn77uEaPP5fvIc9pg8nggLG43mn6113CmtmGh911BgqR8TjTy/2kvWX2DLbGzyc+FI0BVosLUw66aqi9IRW7wfL0Fw9GYEFakkn+vMJB5Egfxo3OjpY/Q47LazZBRDkgAUd9Ue2cR7xN0fylQn5RryyL3wax21mvHR8XL/D708FznWH/DwIxuvrCrfABOdFWMonOo+uquDAn5NIZswEbspLZ1w++4fipEZi1RFvCuNOnQaLdkcFlPmzq/4VXx0XRR3BhtJ/6OzkL85OpWN7xc9IyuMICHKKef5Ov64fIUMPpMiTI9fh5HQzidi3RL1CkagFsWEMiUnSWGYkOVJcC
-----END CERTIFICATE-----","","","","","None","","","","2008/05/19","2021/02/03","","",""
"11002","","","None","10.0.0.1","tcp","53","DNS Server Detection","A DNS server is listening on the remote host.","The remote service is a Domain Name System (DNS) server, which
provides a mapping between hostnames and IP addresses.","Disable this service if it is not needed or restrict access to
internal hosts only if the service is available externally.","https://en.wikipedia.org/wiki/Domain_Name_System","","","","","","None","","","","2003/02/13","2017/05/16","","",""
"11002","","","None","10.0.0.1","udp","53","DNS Server Detection","A DNS server is listening on the remote host.","The remote service is a Domain Name System (DNS) server, which
provides a mapping between hostnames and IP addresses.","Disable this service if it is not needed or restrict access to
internal hosts only if the service is available externally.","https://en.wikipedia.org/wiki/Domain_Name_System","","","","","","None","","","","2003/02/13","2017/05/16","","",""
"11219","","","None","10.0.0.1","tcp","53","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 53/tcp was found to be open","","","","","None","","","","2009/02/04","2022/08/15","","",""
"11219","","","None","10.0.0.1","tcp","80","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 80/tcp was found to be open","","","","","None","","","","2009/02/04","2022/08/15","","",""
